N°,CODE ISIN,MNEMO,VALEUR,GROUPE DE COTATION,COMPARTIMENT,TUNINDEX20,SECTOR,SHAARIA
3,TN0005030010,STIP,STIP,99 - Fixing,S,False,AUTOMOBILES ET EQUIPEMENTIERS,False
4,TN0006670012,SIPHA,SIPHAT,99 - Fixing,S,False,SANTE,False
5,TN0006780019,SOMOC,SOMOCER,99 - Fixing,S,False,BATIMENT ET MATERIAUX DE CONSTRUCTION,False
6,TN0007140015,ASSAD,ASSAD,99 - Fixing,S,False,AUTOMOBILES ET EQUIPEMENTIERS,False
7,TN0007350010,SCB,CIMENTS DE BIZERTE,99 - Fixing,S,False,BATIMENT ET MATERIAUX DE CONSTRUCTION,False
8,TN0007440019,TLNET,TELNET HOLDING,99 - Fixing,S,False,TECHNOLOGIE,True
9,TN0007500010,AETEC,AETECH,99 - Fixing,S,False,TECHNOLOGIE,False
10,TN0007600018,SOTEM,SOTEMAIL,99 - Fixing,S,False,BATIMENT ET MATERIAUX DE CONSTRUCTION,False
11,TN0007650013,TGH,TAWASOL GP HOLDING,99 - Fixing,S,False,TELECOMMUNICATIONS,False
12,TN0007690019,UADH,UADH,99 - Fixing,S,False,DISTRIBUTION,False
13,TN0007730013,SMD,SANIMED,99 - Fixing,S,False,BATIMENT ET MATERIAUX DE CONSTRUCTION,False
